@relation cloud_risk

@attribute RC NUMERIC
@attribute IP NUMERIC
@attribute IAS NUMERIC
@attribute DS NUMERIC
@attribute TPM NUMERIC
@attribute RE NUMERIC
@attribute DB NUMERIC
@attribute DI NUMERIC
@attribute DT NUMERIC
@attribute DL NUMERIC
@attribute DLIS NUMERIC
@attribute SLA NUMERIC
@attribute AAC NUMERIC
@attribute IDD NUMERIC
@attribute BCSA NUMERIC
@attribute R NUMERIC
@attribute ShE NUMERIC
@attribute VV NUMERIC
@attribute risk_label {low,medium,high,very_high}

@data
0.291229,0.785652,0.844666,0.630019,1.036437,1.436920,0.597606,1.878448,1.788983,0.436269,2.044097,2.624850,0.836136,1.780594,2.652277,2.398259,2.100242,1.415157,high
0.611853,0.118336,0.431302,0.417383,0.911003,1.540178,1.716712,0.373398,1.247367,1.773465,2.773934,1.673016,0.280479,2.413878,2.996834,2.685856,1.772564,2.018032,very_high
0.139494,0.409905,0.379040,0.144312,0.061649,0.924657,1.997223,0.396801,0.899974,2.676693,1.616010,0.993283,0.839085,2.943980,2.156865,1.039751,2.923159,1.612376,medium
0.292145,0.839802,0.915061,0.093559,1.758409,1.428174,1.259282,0.944921,0.145600,2.100102,2.629225,1.031949,0.963366,1.336035,1.117619,1.467200,1.865612,2.863380,medium
0.366362,0.383833,0.251169,0.016672,0.026020,1.471871,1.590281,0.983227,2.232843,0.446053,0.374554,0.870754,2.906298,1.820884,2.560936,2.890465,2.168348,1.456576,high
0.456070,0.571872,0.844212,0.873534,1.889500,0.276551,1.563492,0.036868,2.238280,2.603497,1.481366,1.366441,2.005807,1.190188,1.147498,1.770508,2.889533,1.839837,high
0.785176,0.587769,0.484021,0.236475,0.978432,1.932356,0.710679,0.295909,2.012177,0.904632,1.371076,1.011125,1.278015,1.484753,2.080028,2.877184,2.978469,2.918987,very_high
0.199674,0.184476,0.514095,0.211507,0.683869,1.642064,1.148541,0.756310,1.930901,1.362228,0.024356,1.643839,2.964163,1.753519,1.555065,1.548425,1.203317,1.637450,low
0.514234,0.362235,0.308468,0.736035,1.848437,0.408967,1.666114,1.367461,0.731151,1.578428,1.329772,2.320552,0.459697,2.081286,2.830054,1.436135,2.668641,2.289186,high
0.592415,0.334511,0.573042,0.320016,0.048782,0.372330,1.376228,0.456837,0.067035,2.551520,1.107089,2.023384,1.428154,1.461134,1.902662,1.428217,1.764233,1.633454,low
0.046450,0.026197,0.325211,0.506045,1.162850,0.251322,0.042328,0.846029,2.426146,2.794822,2.009396,0.883371,1.941187,1.455125,2.796927,1.170457,2.189657,1.221350,medium
0.607545,0.024192,0.039269,0.162511,1.097865,0.276757,0.673411,1.114690,1.473416,2.788959,2.814989,1.586223,0.166742,2.555660,1.598162,2.792865,1.750096,2.255094,high
0.170524,0.831697,0.271999,0.959746,0.438641,1.496324,0.288951,1.777185,0.920514,0.023863,0.257373,2.520378,2.150997,2.925283,1.774725,2.959670,1.802232,2.832063,high
0.065052,0.273071,0.006379,0.851581,0.857775,0.939309,0.465944,0.652141,0.305796,2.765665,0.982429,0.204619,0.299602,1.647226,2.894238,2.909018,1.317715,1.905129,low
0.948886,0.518079,0.978355,0.863790,1.304528,1.565868,1.810979,0.267117,0.188165,0.163161,1.332194,0.234892,0.420847,2.375984,1.402629,2.704056,2.145533,2.252353,low
0.965632,0.298726,0.965747,0.406774,1.454262,1.492510,0.073787,0.978544,1.046600,0.797321,1.365556,1.668510,0.479069,1.516161,2.157002,2.693776,2.093432,2.217797,medium
0.808397,0.940679,0.395155,0.762361,0.001434,1.209225,0.439601,1.493443,2.414211,1.544964,2.324429,1.917345,2.786669,2.855905,1.777021,2.322171,1.378712,1.830179,very_high
0.304614,0.259297,0.728371,0.143876,1.873707,1.372733,0.619139,0.219720,2.756171,1.439777,1.330187,0.634239,2.049707,2.345805,2.548334,2.652427,2.083461,2.229793,very_high
0.097672,0.429657,0.345806,0.008619,0.329051,0.036711,1.233768,0.849367,2.690254,1.814129,0.081484,2.235660,1.966283,2.605354,1.258593,1.416685,2.946204,1.518636,medium
0.684233,0.872730,0.671093,0.019973,0.467161,0.623555,1.068203,0.035570,2.760003,1.438339,2.130312,1.938790,1.666480,1.098708,1.874430,1.775825,2.428817,1.756076,medium
0.440152,0.841934,0.805430,0.586602,0.526947,1.275644,0.436539,0.067118,2.723176,2.803127,2.654489,2.769868,0.878418,2.197012,2.397865,2.281673,1.961965,1.884638,very_high
0.122038,0.186101,0.946756,0.455395,0.075640,0.018690,0.328482,0.965907,1.581674,0.721647,1.541714,0.506863,1.862669,2.055225,1.814032,2.749543,2.832168,2.728017,medium
0.495177,0.802643,0.400212,0.518015,0.246104,0.065954,0.473596,0.596395,0.658247,0.822074,1.743326,2.254123,1.230449,1.585994,1.117063,2.320939,2.150629,1.696666,low
0.034389,0.458187,0.783298,0.007463,1.972700,1.703776,1.005059,1.690215,2.394140,2.762214,0.488809,0.250929,0.436248,1.524860,2.410225,2.678044,1.270096,2.270274,high
0.909320,0.482969,0.265928,0.422687,0.630433,1.368050,0.542356,1.204309,0.641139,0.230219,0.661938,1.695877,2.068792,2.160050,2.006397,1.947899,2.095019,1.426808,low
0.258780,0.133480,0.990332,0.718068,0.230602,0.530739,1.895205,0.907866,0.801622,1.828682,0.705511,1.655685,0.388747,2.412971,1.022617,2.434607,1.361946,1.505139,low
0.662522,0.080602,0.025770,0.442694,0.213983,1.375926,0.927730,0.815871,0.699763,2.045208,1.292226,1.165155,0.572006,1.066346,2.225312,2.959962,2.535010,2.296858,medium
0.311711,0.727939,0.603529,0.732219,1.438920,1.584913,0.117592,0.994491,1.544947,1.516625,2.784436,2.533713,2.453098,2.134803,2.839762,1.306977,2.934348,2.524620,very_high
0.520068,0.496461,0.659506,0.233019,1.709137,0.613589,1.458533,0.080878,0.965483,2.082696,1.565354,0.013112,1.980351,1.340919,1.222052,2.853841,1.721637,1.924234,low
0.546710,0.436851,0.688046,0.813142,0.513905,0.072075,0.657691,1.785587,0.462468,0.518264,0.576293,1.560538,1.892973,1.280725,2.181342,2.044728,1.869836,1.670199,low
0.184854,0.729508,0.120388,0.588431,0.041819,1.865558,1.306978,1.996606,1.359520,2.557897,0.798263,0.651461,1.254608,2.246239,2.457338,2.286436,1.842993,2.820543,very_high
0.969585,0.765513,0.938530,0.210763,0.446180,0.690360,0.559189,0.362974,2.621722,0.420077,1.152045,2.230496,1.188842,1.621740,1.141547,2.755738,1.570600,1.271616,low
0.775133,0.158908,0.181183,0.236720,0.113031,0.212964,1.141487,0.240766,1.711659,1.202437,1.869777,0.129202,2.070788,1.881760,1.045231,1.819308,2.588360,2.441428,low
0.939499,0.610225,0.622753,0.628030,0.206790,0.983714,1.544305,0.287155,2.635007,0.225773,1.320099,2.494664,2.220017,1.719998,1.928392,1.837385,2.235457,2.380341,high
0.894827,0.135354,0.222676,0.829940,0.863016,1.536936,1.856017,1.322054,0.587617,1.635633,1.177335,2.514277,1.530640,2.296673,2.582373,2.054364,1.128103,2.380490,high
0.597900,0.751375,0.307216,0.415628,0.459837,0.443295,0.522254,1.322882,0.500922,2.009237,1.694186,2.498598,2.907808,1.940240,1.321439,1.038204,2.677613,2.870841,high
0.921874,0.656955,0.546459,0.258300,1.031892,0.538980,0.669714,1.695848,1.726731,2.823665,0.725505,0.457706,2.867099,2.926917,2.673275,1.993332,1.374176,2.456381,very_high
0.088493,0.956615,0.417193,0.867012,0.506988,0.485430,0.928533,1.503653,1.389987,2.218009,0.236710,1.891220,1.237288,1.704766,2.313155,1.582175,2.958302,1.603130,medium
0.195983,0.068958,0.160226,0.669268,1.881075,1.983346,1.854350,0.899379,1.980518,1.623309,0.073243,0.043102,2.461867,2.480569,1.664347,2.855908,1.753326,1.706818,high
0.045227,0.057055,0.170936,0.448085,1.811888,0.394807,1.802774,1.225711,2.383880,2.797851,0.753777,2.543888,1.629804,1.514585,2.031652,1.175471,2.232899,1.782222,high
0.325330,0.282187,0.418145,0.487900,1.133612,1.151040,0.179757,1.376569,2.253922,1.435311,0.274776,2.168926,1.535268,2.017506,2.931150,1.918641,1.155647,1.061617,medium
0.388677,0.261706,0.757283,0.204256,0.708848,1.850529,0.263860,1.025473,2.826784,1.683617,1.009022,1.593461,0.164892,2.105140,1.432874,2.894936,1.689327,2.827021,high
0.271349,0.246979,0.897965,0.626803,0.762294,0.293793,0.991018,0.951302,1.194769,1.788296,2.318801,2.191774,1.721924,1.658219,1.999071,2.802071,2.604708,1.147105,high
0.828738,0.906255,0.084128,0.358743,0.823705,1.941708,0.213239,1.290195,0.619160,1.229939,2.148883,0.282972,2.701734,1.943561,2.248973,2.402697,1.954417,2.399589,high
0.356753,0.249546,0.393104,0.995645,1.455159,1.894954,0.691162,1.114949,1.652738,2.515448,1.832783,1.585967,2.340402,1.558557,1.276029,2.178722,2.809207,2.460322,very_high
0.280935,0.271950,0.100246,0.480184,0.903278,1.769144,0.296771,1.287885,0.332229,0.555528,2.557501,0.873829,2.358951,1.012002,1.087044,1.561462,2.150277,2.687430,low
0.542696,0.759398,0.016592,0.485886,1.713460,0.429113,1.272081,1.225710,0.866553,1.664527,0.846203,2.917858,0.479787,1.431297,1.026920,1.733914,2.857144,2.106725,medium
0.140924,0.449740,0.661719,0.565852,1.888190,1.268110,1.898991,1.438393,0.623664,2.166700,2.655161,2.571354,1.075348,2.400128,1.649386,1.180270,2.965220,2.450529,very_high
0.802197,0.776711,0.602449,0.916756,0.671892,1.521783,1.993468,1.285607,1.189691,2.711929,1.197718,2.199827,0.699615,2.541926,1.147895,2.572217,1.907789,1.605446,high
0.074551,0.065366,0.163019,0.800818,1.121389,1.972056,0.750482,1.039485,0.333650,2.651755,1.202680,2.801243,0.947746,1.560406,2.607540,1.647740,2.130313,2.491168,high
0.986887,0.487571,0.233813,0.451130,0.190113,0.360848,1.198025,1.363594,0.095525,1.526221,1.216055,1.040530,1.738618,1.816086,2.994639,2.335564,2.669841,1.686831,medium
0.772245,0.033614,0.023708,0.718699,0.400938,1.532052,1.712535,0.898964,1.970382,1.929484,0.294283,2.702640,1.094351,1.074731,1.122608,1.715190,1.443066,2.805677,medium
0.198716,0.062653,0.834947,0.586235,0.826932,0.677602,0.234924,0.483342,1.830747,1.182713,2.926471,0.975715,1.682093,1.474126,1.865453,1.928661,2.723259,1.326764,medium
0.005522,0.906437,0.974691,0.492367,0.412405,0.351253,1.379129,0.002836,2.125077,1.404533,0.415520,2.198390,1.315504,2.558439,1.051464,2.110005,2.183840,1.631515,medium
0.815461,0.139245,0.135460,0.192316,1.753121,0.842754,0.817687,1.119928,1.981159,2.718797,1.022657,2.209251,0.859847,2.211973,1.267982,2.603705,2.451000,1.997539,very_high
0.706857,0.532421,0.231475,0.463936,0.316573,1.587672,0.412292,1.181310,0.342884,2.792112,0.957901,0.055050,0.286210,1.411541,1.645845,1.422313,1.159708,2.551701,low
0.729007,0.411096,0.868410,0.245819,0.911322,0.929700,0.805507,1.944098,0.873237,2.686242,0.224038,1.083179,2.675515,1.514884,1.787396,1.797531,2.532375,2.497598,high
0.771270,0.347343,0.926464,0.914842,1.211398,1.075046,0.151921,0.722957,0.388580,0.415113,0.456780,0.058298,0.034120,2.633604,2.879566,1.260163,1.621574,1.421434,low
0.074045,0.899833,0.419627,0.335407,1.383728,1.990319,1.390814,0.788266,2.528917,2.550252,0.134575,2.991276,0.004957,1.418168,1.791674,1.151521,2.610465,1.288471,medium
0.358466,0.021823,0.050622,0.952264,0.766139,0.798219,0.505485,0.403599,2.240711,2.845091,0.877213,0.366590,2.480393,1.668315,1.992555,2.209349,2.018305,1.607939,medium
0.115869,0.663790,0.039392,0.533055,1.738198,1.230802,0.622811,0.141069,0.604581,1.083749,2.599971,1.628433,2.990433,2.328717,1.491167,1.378182,1.549229,1.967508,medium
0.863103,0.963394,0.573950,0.631544,1.136638,0.730488,0.242163,1.545609,1.023928,1.555939,1.018327,2.371669,2.181308,2.122225,1.000250,1.119599,2.905519,2.078010,medium
0.623298,0.560168,0.392895,0.542940,0.879016,0.785571,1.729318,0.499362,2.899845,2.337286,0.371075,0.603791,0.045822,1.921740,2.798669,2.794196,2.530125,1.858275,high
0.330898,0.936822,0.028652,0.129381,0.134481,1.391282,0.986889,1.217810,1.782478,1.686234,1.937082,1.455158,0.680071,2.799482,1.163430,2.068629,2.971372,2.326180,high
0.063558,0.052258,0.583252,0.375821,0.929379,1.875774,1.144294,1.375546,2.403467,2.980451,2.989803,1.822286,2.915468,1.439421,2.928498,1.269256,1.728940,1.855118,very_high
0.310982,0.418793,0.011303,0.099146,1.641472,1.084718,1.138865,0.942473,0.793773,1.367140,0.696971,0.480614,2.425813,2.482840,1.261688,1.106852,2.298439,2.892658,medium
0.325183,0.260158,0.787372,0.622954,1.229082,1.536800,0.820986,1.752704,0.630159,2.141828,0.838713,2.335666,1.700400,1.318128,2.209757,1.239720,2.223177,1.521938,medium
0.729606,0.730821,0.306433,0.446874,1.664325,0.178413,0.385060,0.887590,2.351751,2.377773,2.915541,0.898009,0.710582,2.231468,2.998821,1.942674,2.375113,2.254744,very_high
0.637557,0.981297,0.040258,0.777985,0.988023,0.422316,1.490265,0.569817,2.057617,1.482301,0.536329,0.633069,0.043111,2.741247,1.276929,2.336931,1.076633,2.222756,low
0.887213,0.256530,0.588352,0.220470,0.236923,1.004263,0.254113,1.792031,2.042934,2.570951,1.533642,1.674866,0.062584,1.915804,1.847886,2.282560,1.583439,1.563149,medium
0.472215,0.654175,0.397684,0.164566,0.027280,0.040023,0.207748,1.723129,1.657904,1.638464,0.718956,1.230941,1.835943,2.448589,2.560847,1.288846,2.818675,1.823375,medium
0.119594,0.198098,0.973800,0.406332,0.606439,0.505710,1.420290,0.328080,1.690735,1.234952,2.797056,2.760858,0.065496,2.640787,1.064380,2.266978,1.847640,1.730947,medium
0.713245,0.565330,0.544199,0.926585,1.395981,1.034803,0.417674,0.051922,2.207093,0.323471,2.944563,2.640188,2.980890,1.272053,2.379566,1.809731,2.921287,1.344998,very_high
0.760785,0.463932,0.275239,0.710422,1.580520,0.029922,0.613546,0.179971,0.810007,1.180241,2.444094,1.450052,0.550152,2.411654,1.160747,1.929488,1.427006,1.954590,low
0.561277,0.972005,0.709439,0.418924,0.591506,0.529093,0.950455,0.573095,1.058305,2.201809,0.944351,1.077791,2.132122,2.839682,1.473040,2.602861,2.994848,1.773325,high
0.770967,0.608527,0.271492,0.517272,0.991308,1.028062,0.898703,1.944520,2.614910,2.763859,1.210462,0.976554,0.465179,2.152741,1.320152,1.664999,2.395162,1.356635,medium
0.493796,0.349506,0.904243,0.084213,0.842238,1.146298,1.417158,1.117032,0.926596,0.755038,0.726917,0.802691,1.620280,1.372244,2.814673,1.293998,2.552787,1.899760,low
0.522733,0.114096,0.374722,0.984576,0.821046,1.851503,1.246864,0.746523,1.638929,1.065707,2.672274,1.633644,0.241834,1.253885,1.360913,2.746906,1.793722,1.843688,medium
0.427541,0.151247,0.549869,0.666407,0.462697,1.290691,1.288792,1.777432,2.107918,0.461883,2.743675,2.414936,2.300335,1.519471,1.080868,1.424261,2.814016,1.262731,high
0.025419,0.225317,0.050573,0.285404,0.272742,0.829472,1.428109,0.906273,2.999774,2.072169,1.256612,0.932270,1.754763,1.207027,2.175251,1.588060,2.090926,1.262375,medium
0.107891,0.250967,0.426121,0.585808,0.393377,1.860702,0.585225,0.630477,1.305874,2.880565,1.969599,0.570282,0.258500,2.026788,1.692362,2.413180,2.361877,2.295015,medium
0.031429,0.850616,0.832364,0.109482,0.110665,1.569766,0.644667,1.882439,1.284279,1.922857,0.496660,1.426451,2.545759,1.139409,1.811412,2.367101,1.189617,2.413162,medium
0.636410,0.561223,0.805649,0.965837,0.396261,0.400018,0.875995,1.699035,2.527765,1.851230,1.304808,0.207103,1.641056,1.446809,1.238125,2.600800,2.263361,2.882361,high
0.314356,0.523391,0.224319,0.174785,0.018402,0.261685,0.614924,1.687337,2.416509,1.660470,1.894497,2.103837,2.764777,1.879821,2.496469,1.367733,2.758158,1.174009,high
0.508571,0.114769,0.226079,0.648030,1.254517,1.351623,1.969876,1.024569,2.193228,0.265367,1.156209,1.555075,2.749870,1.947830,2.203107,1.704560,1.356566,1.235723,medium
0.907566,0.860140,0.817305,0.245454,0.632751,1.119766,1.628104,1.578877,1.389689,2.188511,1.072799,1.489124,2.761523,2.130797,1.728434,1.251766,2.475452,1.103636,high
0.249292,0.722814,0.930398,0.717561,1.946289,1.579347,0.329309,0.358707,0.971817,1.806149,0.002997,0.901336,0.233356,2.411230,1.343150,2.082078,1.050802,2.064457,low
0.410383,0.067668,0.095361,0.776821,0.387434,1.477610,0.011188,1.146446,1.826191,1.984430,2.412880,2.714020,0.362873,1.094457,2.186903,1.585141,2.852406,2.245493,high
0.755551,0.707835,0.450059,0.673420,0.691657,1.250423,0.085567,1.967692,2.628670,2.696433,2.668013,0.271459,2.963117,1.161242,2.557195,2.377871,2.965834,1.807047,very_high
0.228798,0.543538,0.337454,0.614499,0.715682,1.972764,0.488127,0.581917,2.651332,2.351882,2.908391,2.609472,1.462802,1.121718,1.624795,1.000689,1.708360,2.595804,high
0.076980,0.081725,0.870688,0.892469,0.016903,1.067179,0.228583,1.588705,0.325495,2.342746,2.157814,1.130116,0.714642,1.846301,1.051721,1.119366,1.214148,2.373399,low
0.289751,0.458301,0.083525,0.078627,1.678416,0.226212,1.066676,0.980957,1.285051,2.781551,1.646377,2.641871,2.308993,1.083696,1.428688,1.865121,2.317153,2.971681,very_high
0.161221,0.484696,0.211126,0.330915,0.063989,1.656547,1.715990,0.079611,1.394166,2.969805,0.807854,2.186284,0.792856,2.492163,2.364796,2.916368,1.059669,1.275790,high
0.929698,0.165775,0.752468,0.248287,1.880360,0.503707,1.473500,1.526039,2.932846,1.743848,2.997898,0.312512,2.181647,1.446000,2.978193,2.781703,1.964973,1.116631,very_high
0.808120,0.945698,0.051294,0.988014,1.784149,1.554604,0.431218,0.337138,2.033994,0.326645,1.769259,2.494609,2.511857,2.878425,1.026752,2.988018,1.543558,1.549607,high
0.633404,0.849975,0.492535,0.389390,1.071044,1.914214,0.798599,1.262947,1.221739,1.377390,2.043462,2.046531,2.352790,1.972808,1.612307,1.833660,1.946678,1.038100,high
0.871461,0.669022,0.442107,0.732613,1.087191,1.393591,1.015788,0.171328,0.078174,2.362803,2.047218,0.096906,0.822143,1.892652,1.124042,1.093137,1.036551,2.865223,low
0.803672,0.462296,0.334401,0.684725,1.307556,1.192060,1.620412,1.893735,1.696155,0.083176,2.535755,0.401108,1.204856,2.561077,1.632699,1.611912,1.103224,1.607903,low
0.186570,0.411766,0.394572,0.212081,0.774100,0.920772,1.678243,0.583448,0.288228,0.170662,0.029018,1.906884,1.239753,2.426308,1.811829,2.351542,1.031952,2.104860,low
0.892559,0.650973,0.529941,0.238998,1.294445,0.728820,1.819437,0.452929,2.503350,0.201473,0.660741,1.987802,1.473819,2.214618,2.841724,1.270328,2.238264,1.636139,medium
0.539342,0.545432,0.161367,0.281285,0.089537,0.706010,1.018491,0.258273,2.257556,2.193107,1.996602,2.239954,0.502119,2.870293,1.161122,1.599944,2.120186,1.491617,medium
0.807440,0.062273,0.571996,0.411127,0.108095,1.272745,1.388549,1.892004,1.381527,1.503500,2.685437,2.160736,1.357410,1.844519,2.554268,1.112332,1.466316,1.304729,medium
0.896091,0.512503,0.805432,0.234325,0.914461,1.502546,0.223601,1.423807,1.287632,1.106694,2.056016,1.978560,1.532349,2.617063,1.791069,1.949934,2.293286,1.640732,high
0.318003,0.806404,0.760161,0.019651,1.099245,1.357034,1.130578,1.483322,2.692017,0.316851,1.240474,2.298717,1.595127,1.760186,2.622526,1.417841,2.768415,2.230838,very_high
0.110052,0.459240,0.153900,0.879393,1.775635,0.396820,0.497384,0.998809,0.865375,2.196721,1.084666,1.725257,2.459701,2.676691,2.026804,1.182496,1.554644,2.943242,high
0.227935,0.051957,0.149249,0.965610,0.209321,0.987974,0.863434,0.949456,0.747060,0.963059,2.213844,0.782374,1.552003,1.518949,1.078564,1.822432,2.663988,2.116184,low
0.427108,0.786278,0.268174,0.341570,1.645296,1.583280,1.268101,0.220042,2.817592,0.795972,2.223713,2.737130,0.692352,1.578534,2.892412,1.702451,2.325018,2.065418,very_high
0.818015,0.201364,0.361075,0.338507,0.420095,0.951408,0.513972,1.119682,2.427738,1.956958,1.821174,0.054642,1.989386,2.355739,1.165468,2.075035,1.067641,1.070526,low
0.860731,0.258621,0.408456,0.007092,0.788167,1.073247,0.104370,0.493833,2.461877,1.677033,0.874401,1.099685,2.391942,1.425427,2.195367,2.498077,1.750300,2.680198,high
0.006952,0.164706,0.679697,0.680251,0.633205,1.542272,0.020468,1.954291,0.585581,1.087232,2.775464,2.186611,0.958115,1.458308,2.755336,1.225137,2.015514,1.089683,low
0.510747,0.330215,0.056680,0.825440,0.800311,1.322531,0.044319,1.593162,0.429888,1.924462,1.655640,1.281468,1.935918,1.610525,1.159540,2.582251,2.463398,2.812465,high
0.417411,0.756752,0.034673,0.146608,0.300991,0.818690,0.016699,0.825984,0.078089,0.813665,2.371477,0.074503,0.440814,2.357858,2.107787,1.052580,1.574261,2.077343,low
0.222108,0.519386,0.391911,0.159666,1.007140,1.790825,0.220710,0.302683,0.711125,2.384491,0.642925,0.197943,1.025779,2.778776,2.648580,1.886204,2.965460,1.336933,medium
0.119865,0.204881,0.697164,0.790083,1.603285,0.325134,0.478977,1.570663,2.322571,0.687957,1.032122,1.945912,2.727672,2.349135,2.972649,2.174861,2.369079,1.903415,very_high
0.337615,0.877830,0.193435,0.616291,0.883068,1.991033,0.442443,0.244108,0.720115,0.476513,2.623739,2.894594,2.733924,2.655628,2.448655,2.913997,1.745627,2.989969,very_high
0.942910,0.879582,0.641504,0.044861,0.981227,0.237705,1.973593,0.378668,2.187310,2.347318,0.150321,1.655591,1.725974,2.087121,1.556669,2.147846,1.194050,1.610166,medium
0.323203,0.870578,0.259828,0.622547,1.697535,0.029900,0.612012,0.423041,0.755725,2.123676,1.536946,1.520273,2.107054,1.137846,2.399141,1.317498,1.362736,1.538920,low
0.518791,0.238796,0.886086,0.308918,1.412116,1.780038,0.254842,1.113781,1.185877,0.547917,1.445116,0.954976,2.562046,1.200932,2.411534,2.035084,1.975216,1.236012,low
0.703019,0.451239,0.895690,0.368725,0.980909,0.489907,1.091125,1.574113,2.949487,0.348737,2.253691,0.770072,2.875660,2.108784,2.399932,1.791568,1.989391,2.194285,very_high
0.363630,0.984990,0.297287,0.769731,0.515391,1.459399,1.715915,0.628630,0.734435,2.515197,0.845681,0.062955,1.469659,1.655602,2.708521,1.958711,2.535438,1.178454,medium
0.971782,0.772012,0.229994,0.810935,1.769853,1.622031,1.356121,0.169340,1.129112,2.329795,0.657200,0.818865,1.684727,1.441136,1.174760,1.394194,2.452353,2.532016,medium
0.962447,0.027167,0.411304,0.400357,1.154041,1.717973,0.592164,0.929077,0.903262,0.981772,2.778399,1.347331,1.246925,1.932514,1.216840,2.001654,1.402546,2.838447,medium
0.251782,0.065205,0.240532,0.947153,0.442295,1.983188,1.123232,1.496220,0.328875,1.974592,1.715129,0.593849,0.215946,2.332993,2.281234,1.300080,2.189913,2.863742,medium
0.497249,0.463931,0.672384,0.406463,0.538240,0.588079,1.429712,0.443328,1.469682,0.372481,0.314069,0.262044,1.268410,1.769984,2.907762,2.488086,1.041244,1.215833,low
0.300878,0.909220,0.826065,0.771836,1.606266,1.420487,1.456209,0.439849,1.136072,1.521143,0.579108,2.153184,2.371882,2.605085,1.931677,2.187813,1.797095,2.116525,very_high
0.284840,0.538702,0.673092,0.483877,0.088291,0.230800,1.333077,1.894454,2.084661,0.056191,2.996478,2.683861,2.414656,2.477046,2.921125,1.157055,2.528210,1.194220,very_high
